,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
Sangat Setuju,221,0,0,310,56,199,68,94
Setuju,254,0,0,165,186,235,281,225
Ragu-Ragu,23,0,0,18,164,49,102,155
Tidak Setuju,1,0,0,6,90,15,41,24
Sangat Tidak Setuju,0,0,0,0,3,1,7,1
Sangat Tahu,0,60,65,0,0,0,0,0
Tahu,0,258,178,0,0,0,0,0
Tidak Tahu,0,88,164,0,0,0,0,0
